SECTOR,AFECTACION,GEOMETRY
Villa Urquiza - Belgrano,Mayor anegamiento,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-58.46954,-34.569586|||-58.46954,-34.569586|||-58.46954,-34.569586|||-58.46954,-34.569586</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-58.473568,-34.574669|||-58.473615,-34.574615|||-58.473905,-34.574273|||-58.474339,-34.573769|||-58.474441,-34.573645|||-58.475109,-34.572863|||-58.475041,-34.572824|||-58.474894,-34.57274|||-58.474555,-34.572541|||-58.474174,-34.572318|||-58.474124,-34.572377|||-58.474483,-34.572588|||-58.474838,-34.572795|||-58.474983,-34.572883|||-58.474385,-34.573587|||-58.474267,-34.573729|||-58.474171,-34.573678|||-58.473678,-34.573395|||-58.4734,-34.573234|||-58.473399,-34.573235|||-58.473349,-34.573292|||-58.473575,-34.573421|||-58.474118,-34.573736|||-58.474211,-34.57379|||-58.473823,-34.574247|||-58.473503,-34.574622|||-58.473383,-34.574559|||-58.472705,-34.574166|||-58.472641,-34.57413|||-58.472785,-34.573959|||-58.473219,-34.573444|||-58.473349,-34.573292|||-58.473349,-34.573292|||-58.473399,-34.573235|||-58.473399,-34.573233|||-58.4734,-34.573234|||-58.473484,-34.573136|||-58.47374,-34.572829|||-58.474123,-34.572377|||-58.47423,-34.572252|||-58.474872,-34.571493|||-58.474781,-34.571439|||-58.47416,-34.572174|||-58.474084,-34.572265|||-58.474013,-34.572225|||-58.473789,-34.572092|||-58.473392,-34.571857|||-58.473241,-34.571769|||-58.473191,-34.571826|||-58.473191,-34.571826|||-58.473369,-34.57193|||-58.473696,-34.572127|||-58.473982,-34.572296|||-58.47403,-34.572327|||-58.473985,-34.572381|||-58.473627,-34.572801|||-58.473397,-34.573072|||-58.473306,-34.573175|||-58.473214,-34.573127|||-58.473051,-34.573031|||-58.472809,-34.572888|||-58.472854,-34.57283|||-58.47293,-34.572759|||-58.47294,-34.572738|||-58.472944,-34.572716|||-58.472935,-34.57269|||-58.472918,-34.572668|||-58.47276,-34.572545|||-58.47271,-34.572504|||-58.472659,-34.572465|||-58.472697,-34.572405|||-58.473013,-34.57203|||-58.473136,-34.571889|||-58.473191,-34.571826|||-58.473191,-34.571826|||-58.473191,-34.571826|||-58.47324,-34.571769|||-58.473241,-34.571769|||-58.473305,-34.571695|||-58.473333,-34.57166|||-58.473357,-34.571633|||-58.473891,-34.571003|||-58.473945,-34.570946|||-58.47387,-34.570902|||-58.473808,-34.570975|||-58.473284,-34.57159|||-58.473226,-34.571659|||-58.473172,-34.571724|||-58.473095,-34.57168|||-58.47303,-34.571642|||-58.47232,-34.571223|||-58.47227,-34.571283|||-58.472907,-34.571657|||-58.473021,-34.571724|||-58.47304,-34.571739|||-58.473119,-34.571786|||-58.472947,-34.571986|||-58.472641,-34.572345|||-58.472592,-34.572389|||-58.472525,-34.572352|||-58.472433,-34.572283|||-58.471871,-34.57186|||-58.47182,-34.571815|||-58.472288,-34.571261|||-58.472903,-34.570536|||-58.473087,-34.570317|||-58.472949,-34.570236|||-58.472214,-34.5698|||-58.472171,-34.569775|||-58.472237,-34.569692|||-58.472463,-34.569425|||-58.472733,-34.569108|||-58.472864,-34.568954|||-58.472793,-34.56891|||-58.472641,-34.569092|||-58.47235,-34.569433|||-58.472161,-34.569655|||-58.472089,-34.569732|||-58.471912,-34.569627|||-58.471315,-34.569274|||-58.471083,-34.569139|||-58.470315,-34.568686|||-58.470561,-34.568402|||-58.471041,-34.56784|||-58.471219,-34.567947|||-58.471853,-34.568335|||-58.47194,-34.568233|||-58.471298,-34.56784|||-58.471136,-34.567736|||-58.47106,-34.567689|||-58.470934,-34.567617|||-58.47022,-34.567182|||-58.470327,-34.567049|||-58.470721,-34.566551|||-58.470895,-34.566334|||-58.470939,-34.566278|||-58.470852,-34.566228|||-58.470746,-34.566363|||-58.470639,-34.566505|||-58.470255,-34.567004|||-58.470206,-34.567066|||-58.470148,-34.567128|||-58.47005,-34.567075|||-58.469792,-34.566914|||-58.469869,-34.566827|||-58.470024,-34.566689|||-58.47039,-34.566363|||-58.47045,-34.566309|||-58.470533,-34.566227|||-58.470499,-34.566225|||-58.470339,-34.566227|||-58.470219,-34.566333|||-58.469885,-34.566627|||-58.469706,-34.566785|||-58.469661,-34.56683|||-58.469559,-34.566775|||-58.469254,-34.566597|||-58.468754,-34.566304|||-58.46828,-34.566011|||-58.468246,-34.565986|||-58.468459,-34.565731|||-58.468984,-34.565131|||-58.468891,-34.565077|||-58.468382,-34.565666|||-58.468156,-34.565924|||-58.468114,-34.565895|||-58.467281,-34.565399|||-58.467258,-34.565386|||-58.467208,-34.565357|||-58.467335,-34.56521|||-58.467517,-34.565001|||-58.467702,-34.564787|||-58.467863,-34.5646|||-58.467937,-34.564519|||-58.467869,-34.564475|||-58.467867,-34.564477|||-58.467764,-34.564593|||-58.46759,-34.564786|||-58.467392,-34.565003|||-58.467252,-34.565159|||-58.467117,-34.565308|||-58.467061,-34.565275|||-58.466091,-34.564703|||-58.466608,-34.564112|||-58.466802,-34.56389|||-58.466889,-34.563794|||-58.466641,-34.563648|||-58.465851,-34.563177|||-58.465993,-34.56301|||-58.466519,-34.562401|||-58.466418,-34.56236|||-58.465899,-34.56296|||-58.465756,-34.56312|||-58.465606,-34.563029|||-58.465244,-34.562813|||-58.465155,-34.562851|||-58.465155,-34.562851|||-58.465217,-34.562887|||-58.465623,-34.56313|||-58.465708,-34.563183|||-58.46547,-34.563459|||-58.465144,-34.563836|||-58.46497,-34.564037|||-58.465065,-34.564094|||-58.465065,-34.564094|||-58.465266,-34.56386|||-58.465568,-34.563506|||-58.465799,-34.563239|||-58.465847,-34.563272|||-58.466575,-34.563699|||-58.466761,-34.563806|||-58.466716,-34.563857|||-58.466514,-34.56409|||-58.466023,-34.564658|||-58.465937,-34.564606|||-58.46509,-34.564109|||-58.465065,-34.564094|||-58.465065,-34.564094|||-58.465065,-34.564094|||-58.464888,-34.563989|||-58.464053,-34.563498|||-58.464015,-34.563484|||-58.463977,-34.563479|||-58.463946,-34.563465|||-58.463935,-34.56343|||-58.463877,-34.563389|||-58.464052,-34.563317|||-58.464693,-34.563047|||-58.465155,-34.562851|||-58.465155,-34.562851|||-58.465155,-34.562851|||-58.46547,-34.562717|||-58.466391,-34.56233|||-58.46629,-34.56218|||-58.46526,-34.562616|||-58.46506,-34.5627|||-58.464965,-34.562646|||-58.464644,-34.562457|||-58.464036,-34.562101|||-58.463844,-34.561985|||-58.463842,-34.561986|||-58.463842,-34.561986|||-58.463842,-34.561986|||-58.463793,-34.562045|||-58.463941,-34.562134|||-58.464554,-34.562493|||-58.464845,-34.562665|||-58.464966,-34.562738|||-58.464611,-34.562889|||-58.463889,-34.563192|||-58.463667,-34.563285|||-58.463615,-34.563257|||-58.463046,-34.562915|||-58.46321,-34.562725|||-58.463704,-34.562148|||-58.46377,-34.562071|||-58.463842,-34.561986|||-58.463842,-34.561986|||-58.463842,-34.561986|||-58.463842,-34.561984|||-58.463844,-34.561985|||-58.463869,-34.561956|||-58.463875,-34.561951|||-58.464222,-34.561546|||-58.464585,-34.561129|||-58.464417,-34.561027|||-58.464162,-34.561324|||-58.463676,-34.561887|||-58.462825,-34.561386|||-58.462885,-34.561317|||-58.463101,-34.561065|||-58.463325,-34.560804|||-58.463569,-34.560521|||-58.463495,-34.560479|||-58.463222,-34.560798|||-58.463033,-34.561019|||-58.462814,-34.561274|||-58.462756,-34.561341|||-58.462617,-34.56126|||-58.461931,-34.56086|||-58.462271,-34.560466|||-58.462554,-34.560136|||-58.462829,-34.559818|||-58.463128,-34.559466|||-58.463323,-34.559234|||-58.463255,-34.559191|||-58.46304,-34.559441|||-58.462785,-34.559743|||-58.462681,-34.559857|||-58.462598,-34.559811|||-58.462043,-34.559482|||-58.46178,-34.559332|||-58.461392,-34.55979|||-58.460966,-34.560287|||-58.461039,-34.56033|||-58.461039,-34.56033|||-58.461281,-34.560045|||-58.461468,-34.559826|||-58.461715,-34.559534|||-58.46178,-34.559467|||-58.462501,-34.559883|||-58.462605,-34.559949|||-58.462503,-34.560065|||-58.46221,-34.560406|||-58.461861,-34.560816|||-58.461729,-34.560739|||-58.461079,-34.560356|||-58.461039,-34.56033|||-58.461038,-34.56033|||-58.461039,-34.56033|||-58.460965,-34.560287|||-58.460966,-34.560287|||-58.460921,-34.560264|||-58.460561,-34.56005|||-58.46017,-34.559821|||-58.460139,-34.559803|||-58.460187,-34.559747|||-58.460343,-34.559564|||-58.46058,-34.559287|||-58.460886,-34.558931|||-58.460817,-34.558887|||-58.460514,-34.55924|||-58.46025,-34.559549|||-58.460071,-34.559761|||-58.459617,-34.559493|||-58.459228,-34.559261|||-58.459418,-34.55904|||-58.459968,-34.558399|||-58.459759,-34.558277|||-58.45924,-34.558877|||-58.459016,-34.559136|||-58.458945,-34.559093|||-58.458184,-34.558639|||-58.458127,-34.558694|||-58.458967,-34.559195|||-58.458816,-34.559368|||-58.458224,-34.560059|||-58.457791,-34.560563|||-58.45737,-34.561053|||-58.457585,-34.561176|||-58.458073,-34.560606|||-58.458237,-34.560414|||-58.458344,-34.56029|||-58.458383,-34.560245|||-58.458382,-34.560244|||-58.458434,-34.560184|||-58.458434,-34.560184|||-58.458594,-34.559996|||-58.459052,-34.559464|||-58.459174,-34.559319|||-58.460015,-34.559818|||-58.459313,-34.56064|||-58.459275,-34.560683|||-58.459068,-34.560564|||-58.458547,-34.560253|||-58.458434,-34.560184|||-58.458383,-34.560245|||-58.458508,-34.560316|||-58.459066,-34.560649|||-58.459222,-34.560745|||-58.459179,-34.560794|||-58.458517,-34.561565|||-58.458477,-34.561607|||-58.458331,-34.561524|||-58.457883,-34.56126|||-58.457638,-34.561116|||-58.457586,-34.561176|||-58.457865,-34.56134|||-58.458274,-34.561583|||-58.458425,-34.561674|||-58.458379,-34.561728|||-58.457942,-34.562237|||-58.457658,-34.562571|||-58.457731,-34.56261|||-58.458007,-34.562289|||-58.458455,-34.561766|||-58.4585,-34.561715|||-58.458646,-34.5618|||-58.45907,-34.562051|||-58.45932,-34.562199|||-58.459371,-34.562143|||-58.459132,-34.561998|||-58.458702,-34.561744|||-58.458549,-34.561654|||-58.458595,-34.5616|||-58.459258,-34.560831|||-58.459295,-34.560786|||-58.459363,-34.560825|||-58.459638,-34.56099|||-58.459984,-34.561198|||-58.460115,-34.561276|||-58.460167,-34.561215|||-58.46006,-34.561152|||-58.459736,-34.560958|||-58.459346,-34.560722|||-58.459364,-34.560703|||-58.460089,-34.559862|||-58.460443,-34.56007|||-58.460913,-34.560349|||-58.460796,-34.560484|||-58.460642,-34.560665|||-58.460383,-34.560966|||-58.460214,-34.56116|||-58.460063,-34.561339|||-58.459813,-34.561629|||-58.45954,-34.561949|||-58.459421,-34.562087|||-58.45924,-34.562291|||-58.458725,-34.562905|||-58.458432,-34.563242|||-58.458188,-34.563527|||-58.457813,-34.56396|||-58.457659,-34.564138|||-58.45724,-34.564629|||-58.45687,-34.56505|||-58.456943,-34.56509|||-58.456965,-34.565067|||-58.456965,-34.565066|||-58.456966,-34.565065|||-58.456997,-34.565029|||-58.456997,-34.565028|||-58.456997,-34.565028|||-58.457324,-34.564649|||-58.457763,-34.56414|||-58.458527,-34.564589|||-58.458585,-34.564622|||-58.458368,-34.564871|||-58.458217,-34.565048|||-58.457817,-34.565508|||-58.45783,-34.565516|||-58.457888,-34.565551|||-58.458316,-34.565053|||-58.458445,-34.564904|||-58.458654,-34.564662|||-58.458716,-34.564698|||-58.45921,-34.56499|||-58.459477,-34.565145|||-58.459391,-34.565248|||-58.458708,-34.566038|||-58.458532,-34.565934|||-58.458274,-34.56578|||-58.457888,-34.565551|||-58.457888,-34.565551|||-58.45783,-34.565516|||-58.457817,-34.565508|||-58.457802,-34.565511|||-58.457801,-34.565512|||-58.457802,-34.565512|||-58.4578,-34.565514|||-58.457756,-34.565568|||-58.457755,-34.565568|||-58.457755,-34.565568|||-58.457851,-34.565623|||-58.457875,-34.565633|||-58.458245,-34.565849|||-58.458561,-34.56604|||-58.45866,-34.566094|||-58.458595,-34.566175|||-58.458373,-34.566429|||-58.458157,-34.56668|||-58.458036,-34.566818|||-58.457931,-34.566947|||-58.458012,-34.566972|||-58.458056,-34.566921|||-58.458251,-34.566696|||-58.458478,-34.566434|||-58.458687,-34.566193|||-58.458733,-34.566138|||-58.459437,-34.565317|||-58.459596,-34.56513|||-58.459292,-34.56495|||-58.458558,-34.564516|||-58.457814,-34.564082|||-58.457864,-34.564022|||-58.45838,-34.563422|||-58.458578,-34.563197|||-58.458749,-34.5633|||-58.459394,-34.563676|||-58.459446,-34.563615|||-58.458807,-34.56324|||-58.45863,-34.563131|||-58.458802,-34.562932|||-58.45934,-34.562307|||-58.459649,-34.561943|||-58.459919,-34.561629|||-58.460046,-34.561478|||-58.460286,-34.561206|||-58.460469,-34.560991|||-58.460702,-34.560718|||-58.460858,-34.560535|||-58.460986,-34.560389|||-58.461609,-34.560757|||-58.46181,-34.560876|||-58.461405,-34.561345|||-58.46117,-34.561618|||-58.461057,-34.561746|||-58.461128,-34.561788|||-58.461292,-34.561602|||-58.461482,-34.561379|||-58.4617,-34.561127|||-58.46188,-34.56092|||-58.462514,-34.561289|||-58.462705,-34.561402|||-58.462661,-34.561455|||-58.462579,-34.561549|||-58.462188,-34.562001|||-58.461949,-34.562277|||-58.462018,-34.562317|||-58.462266,-34.562034|||-58.462675,-34.561564|||-58.46274,-34.561488|||-58.462778,-34.561444|||-58.462829,-34.561475|||-58.463625,-34.561947|||-58.463519,-34.562065|||-58.463058,-34.562601|||-58.46299,-34.562682|||-58.462902,-34.562782|||-58.462809,-34.562891|||-58.463827,-34.563498|||-58.464013,-34.563587|||-58.464808,-34.564059|||-58.465051,-34.564201|||-58.465853,-34.564679|||-58.46591,-34.564713|||-58.465954,-34.564738|||-58.46588,-34.564825|||-58.465742,-34.564985|||-58.465607,-34.565139|||-58.465358,-34.565427|||-58.465224,-34.565583|||-58.465291,-34.565624|||-58.465465,-34.565425|||-58.465662,-34.565197|||-58.465832,-34.565001|||-58.465966,-34.564846|||-58.466026,-34.564779|||-58.466043,-34.564789|||-58.466965,-34.565335|||-58.467213,-34.565475|||-58.467297,-34.565524|||-58.468007,-34.565953|||-58.468066,-34.566002|||-58.468066,-34.566002|||-58.468067,-34.566003|||-58.468141,-34.566058|||-58.468654,-34.566399|||-58.469153,-34.566689|||-58.469374,-34.566817|||-58.469545,-34.56692|||-58.469476,-34.566987|||-58.469296,-34.567147|||-58.468716,-34.56766|||-58.468642,-34.567614|||-58.46838,-34.567459|||-58.467981,-34.567223|||-58.467447,-34.566908|||-58.467443,-34.566913|||-58.467398,-34.566965|||-58.467626,-34.567101|||-58.467918,-34.567274|||-58.468359,-34.567537|||-58.468558,-34.567654|||-58.468648,-34.567718|||-58.468349,-34.567988|||-58.467736,-34.568524|||-58.467569,-34.568433|||-58.466764,-34.567954|||-58.466618,-34.567869|||-58.466652,-34.567832|||-58.466835,-34.567618|||-58.46736,-34.567008|||-58.467443,-34.566913|||-58.467446,-34.566908|||-58.467447,-34.566908|||-58.467482,-34.566874|||-58.467987,-34.566293|||-58.467974,-34.5662|||-58.46799,-34.56615|||-58.468005,-34.56614|||-58.468023,-34.566138|||-58.468142,-34.566058|||-58.468067,-34.566003|||-58.468066,-34.566002|||-58.468027,-34.566041|||-58.467964,-34.566112|||-58.467884,-34.566201|||-58.467738,-34.566366|||-58.467586,-34.566592|||-58.467407,-34.566793|||-58.467355,-34.566853|||-58.467013,-34.566655|||-58.466421,-34.566302|||-58.466404,-34.566289|||-58.466515,-34.566156|||-58.467141,-34.565435|||-58.46707,-34.565395|||-58.466445,-34.566119|||-58.46633,-34.566245|||-58.466265,-34.566315|||-58.465731,-34.566938|||-58.465504,-34.567199|||-58.465574,-34.567243|||-58.466018,-34.566732|||-58.466347,-34.566362|||-58.466677,-34.566545|||-58.46679,-34.566613|||-58.4673,-34.566913|||-58.467184,-34.567048|||-58.466774,-34.567528|||-58.466591,-34.567735|||-58.466474,-34.567873|||-58.466681,-34.567992|||-58.467474,-34.568459|||-58.467789,-34.568656|||-58.468535,-34.568003|||-58.468791,-34.567778|||-58.46879,-34.567778|||-58.468791,-34.567778|||-58.469483,-34.567168|||-58.469604,-34.567059|||-58.46967,-34.567|||-58.469955,-34.567173|||-58.47006,-34.567236|||-58.470002,-34.5673|||-58.469783,-34.567544|||-58.469549,-34.567806|||-58.46936,-34.568018|||-58.469303,-34.568081|||-58.46923,-34.568044|||-58.468791,-34.567778|||-58.468791,-34.567778|||-58.468706,-34.567853|||-58.469172,-34.568127|||-58.46923,-34.56816|||-58.469131,-34.568271|||-58.468501,-34.568982|||-58.468571,-34.569024|||-58.469238,-34.568273|||-58.469435,-34.568055|||-58.469868,-34.567571|||-58.470076,-34.567338|||-58.470127,-34.567278|||-58.470827,-34.567706|||-58.470971,-34.567795|||-58.470475,-34.568378|||-58.470248,-34.568639|||-58.470174,-34.568715|||-58.469724,-34.569244|||-58.469376,-34.569652|||-58.468802,-34.570331|||-58.468617,-34.570543|||-58.468691,-34.570585|||-58.468885,-34.570355|||-58.469456,-34.569684|||-58.469489,-34.569646|||-58.46949,-34.569644|||-58.469489,-34.569645|||-58.469518,-34.569612|||-58.46954,-34.569582|||-58.469802,-34.56928|||-58.470246,-34.568762|||-58.471014,-34.569213|||-58.471075,-34.56925|||-58.470971,-34.569372|||-58.47076,-34.569627|||-58.470533,-34.569901|||-58.470382,-34.570081|||-58.470446,-34.570118|||-58.470507,-34.570154|||-58.47069,-34.569933|||-58.470772,-34.569837|||-58.47093,-34.569646|||-58.471115,-34.569425|||-58.4712,-34.569323|||-58.471247,-34.569351|||-58.471709,-34.569623|||-58.472024,-34.569811|||-58.471963,-34.569881|||-58.471857,-34.570006|||-58.471728,-34.570159|||-58.471597,-34.570312|||-58.471493,-34.570435|||-58.471322,-34.570636|||-58.471392,-34.570678|||-58.471393,-34.570678|||-58.471469,-34.570586|||-58.47158,-34.570456|||-58.471701,-34.570314|||-58.471805,-34.570193|||-58.471941,-34.570033|||-58.472052,-34.569902|||-58.472096,-34.569848|||-58.47289,-34.570317|||-58.472949,-34.570353|||-58.472912,-34.570397|||-58.472246,-34.57118|||-58.472172,-34.57114|||-58.471609,-34.570809|||-58.471393,-34.570678|||-58.471392,-34.570679|||-58.471392,-34.570678|||-58.471143,-34.570531|||-58.470549,-34.570179|||-58.470446,-34.570118|||-58.470382,-34.570081|||-58.470382,-34.570081|||-58.470303,-34.570035|||-58.469544,-34.569592|||-58.469537,-34.569587|||-58.469518,-34.569612|||-58.46949,-34.569644|||-58.46949,-34.569644|||-58.46949,-34.569644|||-58.46949,-34.569644|||-58.469489,-34.569647|||-58.469499,-34.569654|||-58.470234,-34.57008|||-58.470259,-34.570095|||-58.470332,-34.570142|||-58.470281,-34.570203|||-58.470159,-34.570349|||-58.469932,-34.57062|||-58.469562,-34.571062|||-58.469692,-34.571131|||-58.469854,-34.570935|||-58.470103,-34.570637|||-58.470333,-34.570361|||-58.470413,-34.570267|||-58.470458,-34.570215|||-58.470499,-34.57024|||-58.470547,-34.570268|||-58.471133,-34.570618|||-58.47135,-34.570748|||-58.47156,-34.570869|||-58.472133,-34.571205|||-58.472196,-34.571242|||-58.471754,-34.571763|||-58.471689,-34.571708|||-58.471302,-34.571405|||-58.470987,-34.571162|||-58.470952,-34.571205|||-58.471288,-34.571466|||-58.471659,-34.571761|||-58.471846,-34.571913|||-58.472393,-34.572324|||-58.472491,-34.572398|||-58.472673,-34.572553|||-58.472819,-34.572663|||-58.472835,-34.572678|||-58.472848,-34.572701|||-58.472852,-34.572725|||-58.472843,-34.572759|||-58.472831,-34.572773|||-58.472795,-34.572806|||-58.472772,-34.572818|||-58.472751,-34.572823|||-58.472724,-34.572825|||-58.4727,-34.572823|||-58.47267,-34.572814|||-58.47253,-34.572733|||-58.472515,-34.572719|||-58.472502,-34.572701|||-58.472495,-34.572674|||-58.472497,-34.572649|||-58.472505,-34.572631|||-58.472549,-34.572581|||-58.472579,-34.572549|||-58.472596,-34.572543|||-58.47263,-34.572539|||-58.472651,-34.572542|||-58.472672,-34.572552|||-58.472491,-34.572398|||-58.472506,-34.572415|||-58.472516,-34.572436|||-58.472519,-34.57246|||-58.472516,-34.572483|||-58.472501,-34.57251|||-58.472444,-34.572577|||-58.472328,-34.572712|||-58.472414,-34.57276|||-58.472528,-34.572824|||-58.472634,-34.572883|||-58.472554,-34.57296|||-58.472142,-34.573329|||-58.471804,-34.57363|||-58.47181,-34.573635|||-58.471869,-34.573676|||-58.472219,-34.573365|||-58.472637,-34.572992|||-58.472714,-34.572925|||-58.472999,-34.573089|||-58.473153,-34.573177|||-58.473255,-34.573237|||-58.473125,-34.573392|||-58.472839,-34.573731|||-58.472786,-34.573795|||-58.47259,-34.574026|||-58.472545,-34.574075|||-58.472495,-34.574133|||-58.472592,-34.574189|||-58.472653,-34.574224|||-58.473329,-34.574615|||-58.473451,-34.574681|||-58.473392,-34.574754|||-58.472865,-34.575371|||-58.472785,-34.575464|||-58.47268,-34.575582|||-58.473004,-34.575768|||-58.473563,-34.576084|||-58.473621,-34.576118|||-58.473501,-34.576261|||-58.472738,-34.577122|||-58.472807,-34.577163|||-58.473583,-34.576291|||-58.473697,-34.576162|||-58.473734,-34.576184|||-58.474546,-34.57665|||-58.474615,-34.576572|||-58.473862,-34.576141|||-58.473761,-34.576088|||-58.473857,-34.575978|||-58.474085,-34.575718|||-58.474409,-34.57535|||-58.474471,-34.575283|||-58.474602,-34.575362|||-58.475312,-34.575781|||-58.475364,-34.57572|||-58.474647,-34.575299|||-58.474526,-34.575224|||-58.474583,-34.575157|||-58.475253,-34.574396|||-58.475409,-34.574487|||-58.476105,-34.574892|||-58.476154,-34.574838|||-58.475432,-34.57441|||-58.475306,-34.574336|||-58.475383,-34.574251|||-58.476033,-34.573512|||-58.475963,-34.573471|||-58.475318,-34.574203|||-58.475238,-34.574291|||-58.475132,-34.574232|||-58.474335,-34.573774|||-58.474284,-34.573834|||-58.475034,-34.574262|||-58.475184,-34.574351|||-58.474508,-34.575118|||-58.474453,-34.57518|||-58.474362,-34.575133|||-58.473568,-34.574669</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.473509,-34.574738|||-58.474276,-34.575187|||-58.474389,-34.575252|||-58.47433,-34.575319|||-58.47416,-34.575509|||-58.474012,-34.575678|||-58.473776,-34.575946|||-58.473683,-34.576051|||-58.473611,-34.576015|||-58.473065,-34.575702|||-58.472818,-34.575558|||-58.472924,-34.575428|||-58.473448,-34.57481|||-58.473509,-34.574738</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.473532,-34.574711|||-58.473509,-34.574738|||-58.473508,-34.574738|||-58.473532,-34.574711</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.473532,-34.574711|||-58.473568,-34.574669|||-58.473568,-34.574669|||-58.473532,-34.574711</coordinates></LinearRing></innerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-58.456965,-34.565067|||-58.456944,-34.565091|||-58.456943,-34.56509|||-58.456943,-34.565091|||-58.457006,-34.565121|||-58.457026,-34.565134|||-58.457044,-34.565145|||-58.457063,-34.565156|||-58.457755,-34.565568|||-58.4578,-34.565514|||-58.457801,-34.565512|||-58.457111,-34.565095|||-58.457096,-34.565086|||-58.457066,-34.565069|||-58.456997,-34.565028|||-58.456997,-34.565029|||-58.456975,-34.565055|||-58.456966,-34.565065|||-58.456965,-34.565067</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.457743,-34.56404|||-58.457188,-34.563714|||-58.456919,-34.563555|||-58.456868,-34.563618|||-58.45713,-34.563769|||-58.457693,-34.564098|||-58.457744,-34.56404|||-58.457743,-34.56404</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Pueyrredon,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.514483,-34.588755|||-58.514443,-34.588677|||-58.514161,-34.588993|||-58.513744,-34.589458|||-58.515053,-34.590263|||-58.515075,-34.590283|||-58.515087,-34.590305|||-58.51509,-34.590326|||-58.515084,-34.590355|||-58.51507,-34.590375|||-58.515049,-34.590392|||-58.515103,-34.590376|||-58.515162,-34.590358|||-58.515234,-34.590336|||-58.515132,-34.590101|||-58.515128,-34.59012|||-58.515121,-34.590134|||-58.515104,-34.59015|||-58.515084,-34.59016|||-58.515058,-34.590163|||-58.515038,-34.59016|||-58.515018,-34.590152|||-58.514363,-34.589747|||-58.513868,-34.589441|||-58.51448,-34.588757|||-58.514483,-34.588755</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.456926,-34.564986|||-58.456418,-34.564682|||-58.4561,-34.564494|||-58.45605,-34.564555|||-58.456371,-34.564744|||-58.456877,-34.565042|||-58.456926,-34.564986</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.457831,-34.565612|||-58.457759,-34.56557|||-58.457348,-34.566051|||-58.457019,-34.56644|||-58.45709,-34.56648|||-58.457471,-34.566035|||-58.457831,-34.565612</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.469466,-34.569546|||-58.468999,-34.569273|||-58.468592,-34.569038|||-58.468462,-34.56896|||-58.468415,-34.569018|||-58.468797,-34.569242|||-58.468941,-34.569328|||-58.469416,-34.569605|||-58.469466,-34.569546</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.462257,-34.553873|||-58.462178,-34.553837|||-58.461884,-34.554184|||-58.461444,-34.554689|||-58.461215,-34.554961|||-58.460998,-34.555216|||-58.460535,-34.555759|||-58.460603,-34.555798|||-58.461068,-34.555255|||-58.461287,-34.554998|||-58.461512,-34.554735|||-58.46199,-34.554182|||-58.462257,-34.553873</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.45856,-34.563095|||-58.458063,-34.562801|||-58.457802,-34.562646|||-58.457732,-34.562611|||-58.457684,-34.562664|||-58.45775,-34.562702|||-58.457792,-34.562728|||-58.457999,-34.56285|||-58.458323,-34.563044|||-58.458436,-34.563125|||-58.4585,-34.563164|||-58.45856,-34.563095</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.452889,-34.5583|||-58.452441,-34.558031|||-58.452072,-34.557812|||-58.452017,-34.557869|||-58.452413,-34.558105|||-58.452834,-34.55836|||-58.452889,-34.5583</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.520178,-34.598718|||-58.520102,-34.598675|||-58.519512,-34.599333|||-58.519586,-34.599371|||-58.520178,-34.598718</coordinates></LinearRing></outerBoundaryIs></Polygon>"
