Id,Objeto,Calle,Altura,Direc_norm,Telefono,Barrio,Comuna,Longitud,Latitud
1,FARMACIA,AV LOPE DE VEGA,1397,LOPE DE VEGA AV. 1397,45677038,MONTE CASTRO,10,-58.50807205116535,-34.62681507649539
2,FARMACIA,AV JUAN B. JUSTO,4995,"JUSTO, JUAN B. AV. 4995",45813798,VILLA GRAL. MITRE,11,-58.468975982565723,-34.611706591283692
3,FARMACIA,GUEMES,3002,GUEMES 3002,48246127,RECOLETA,2,-58.409305280589344,-34.59176120106715
4,FARMACIA,CARHUE,40,CARHUE 40,46410461,LINIERS,9,-58.52482110259681,-34.639615950223352
5,FARMACIA,AV ALVAREZ JONTE,4886,ALVAREZ JONTE AV. 4886,45667772,MONTE CASTRO,10,-58.506649900676351,-34.620429037658418
6,FARMACIA,AV JUAN B. JUSTO,5391,"JUSTO, JUAN B. AV. 5391",45813650,VILLA GRAL. MITRE,11,-58.473068527620732,-34.614734162487075
7,FARMACIA,AV ELCANO,3901,ELCANO AV. 3901,45512338,VILLA ORTUZAR,15,-58.460737341161476,-34.581964332050944
9,FARMACIA,AV MONROE,3195,MONROE AV. 3195,,COGHLAN,12,-58.46753858999017,-34.562751300528717
10,FARMACIA,DOBLAS,228,DOBLAS 228,49013252,CABALLITO,6,-58.43123766373111,-34.619099123181932
11,FARMACIA,AV ALVAREZ JONTE,2311,ALVAREZ JONTE 2311,45882587,VILLA DEL PARQUE,11,-58.475430633000975,-34.605965056896189
12,FARMACIA,CERVIÑO,3365,CERVIÑO AV. 3365,48015981,PALERMO,14,-58.40670799568057,-34.580810643854626
13,FARMACIA,PICHINCHA,52,PICHINCHA 52,49534678,BALVANERA,3,-58.398867519309611,-34.610261794377294
14,FARMACIA,AV CORDOBA,3599,CORDOBA AV. 3599,49633129,PALERMO,14,-58.41708679240228,-34.597658737545345
15,FARMACIA,JUNCAL,2863,JUNCAL 2863,48254455 48251511,RECOLETA,2,-58.40580463570172,-34.588218810741623
16,FARMACIA,JOSE E. RODO,7202,"RODO, JOSE E. 7202",46870599,MATADEROS,9,-58.510066063646647,-34.663739316339992
17,FARMACIA,PI Y MARGALL,725,PI Y MARGALL 725,43625786,BOCA,4,-58.366070868341978,-34.627463712512878
18,FARMACIA,LAGUNA,1384,LAGUNA 1384,,PARQUE AVELLANEDA,9,-58.470149145441567,-34.647030337137402
19,FARMACIA,AV PEDRO GOYENA,69,"GOYENA, PEDRO AV. 69",49220207,CABALLITO,6,-58.428163041670039,-34.625053066879893
20,FARMACIA,AV CORDOBA,1402,CORDOBA AV. 1402,43729633 ,SAN NICOLAS,1,-58.386958425998301,-34.5994736998096
21,FARMACIA,AV CASEROS,2032,CASEROS AV. 2032,43042691 43041697,PARQUE PATRICIOS,4,-58.390871129602438,-34.634429420762629
23,FARMACIA,AV CABILDO,2928,CABILDO AV. 2928,,NUÑEZ,13,-58.463059090850727,-34.55533235462304
